epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1308,2.54992,5.63489,2.64143,0.00556,0.66667,0.00972,0.00238,1.25716,3.5782,1.87601,0.00012,0.00012,0.00012
2,21.8814,1.74659,4.52629,2.16755,0.00722,0.86667,0.15527,0.08579,0.66629,3.26765,1.43828,0.000254852,0.000254852,0.000254852
3,24.5065,1.36914,3.39967,1.83204,0.00667,0.8,0.41779,0.21442,1.24597,3.5499,2.12049,0.00038416,0.00038416,0.00038416
4,27.1806,1.19977,3.07264,1.62148,0.00833,1,0.58849,0.39151,1.00175,3.11409,1.68278,0.000507924,0.000507924,0.000507924
5,29.4474,1.06319,2.73172,1.54778,0.00833,1,0.45135,0.27437,0.95147,3.10434,1.61385,0.000626144,0.000626144,0.000626144
6,31.6481,1.08529,2.72449,1.52795,0.00833,1,0.4283,0.19484,1.09891,3.05436,1.90651,0.00073882,0.00073882,0.00073882
7,33.7942,0.97894,2.62762,1.47576,0.00833,1,0.45001,0.21658,1.04577,2.96756,1.90046,0.000845952,0.000845952,0.000845952
8,35.985,1.01733,2.43415,1.4665,0.70777,0.86667,0.68434,0.51844,0.80506,2.37193,1.55819,0.00094754,0.00094754,0.00094754
9,38.1464,0.85711,2.45937,1.38106,0.70228,0.86667,0.80834,0.61157,0.69225,2.18353,1.37522,0.00104358,0.00104358,0.00104358
10,40.3002,0.91741,2.15789,1.34847,0.71834,0.86667,0.84445,0.58262,0.95399,2.04058,1.72837,0.00113408,0.00113408,0.00113408
11,42.4831,0.96714,2.58916,1.46103,0.99353,0.8,0.92823,0.6988,0.73678,1.56329,1.3907,0.00121904,0.00121904,0.00121904
12,44.6778,0.99368,2.32793,1.44987,0.72182,0.86502,0.8457,0.67121,0.63357,1.35881,1.28602,0.00129845,0.00129845,0.00129845
13,46.765,0.99951,2.39584,1.44113,0.94153,0.86667,0.95,0.71941,0.77393,1.41947,1.57651,0.00137232,0.00137232,0.00137232
14,48.8846,0.97089,2.19697,1.44029,0.94153,0.86667,0.95,0.71941,0.77393,1.41947,1.57651,0.00144064,0.00144064,0.00144064
15,51.0317,0.89534,2.02624,1.41549,0.99769,0.86667,0.90233,0.75433,0.65612,1.229,1.45357,0.0014456,0.0014456,0.0014456
16,53.1736,0.9672,2.1664,1.40985,0.88991,0.8,0.86519,0.73227,0.61193,1.34305,1.35154,0.001406,0.001406,0.001406
17,55.3187,0.97691,2.07009,1.45627,0.8275,0.73333,0.85586,0.68936,0.61232,1.47028,1.35251,0.0013664,0.0013664,0.0013664
18,57.4423,0.90026,2.06849,1.385,1,0.85194,0.91941,0.71961,0.69196,1.26122,1.46353,0.0013268,0.0013268,0.0013268
19,59.5858,0.80482,1.81857,1.30933,0.53919,0.86667,0.75348,0.57282,0.58789,2.5415,1.31557,0.0012872,0.0012872,0.0012872
20,61.775,0.95034,2.08349,1.43751,0.64089,0.86667,0.91266,0.73984,0.5928,1.97499,1.45936,0.0012476,0.0012476,0.0012476
21,63.9007,0.87364,1.91346,1.36037,0.97039,0.8,0.90239,0.74491,0.6085,1.40978,1.35379,0.001208,0.001208,0.001208
22,66.0358,0.91553,1.9203,1.35633,0.97039,0.8,0.90239,0.74491,0.6085,1.40978,1.35379,0.0011684,0.0011684,0.0011684
23,68.1447,0.77764,1.59234,1.30047,0.95984,0.8,0.92105,0.74437,0.66436,1.22929,1.276,0.0011288,0.0011288,0.0011288
24,70.2713,0.81922,1.77775,1.31499,0.82667,0.86667,0.9177,0.76856,0.53961,1.08329,1.16047,0.0010892,0.0010892,0.0010892
25,72.4381,0.74775,1.6256,1.23614,1,0.861,0.92533,0.81209,0.44491,0.75279,1.06721,0.0010496,0.0010496,0.0010496
26,74.5752,0.77241,1.72759,1.26562,1,0.86167,0.90052,0.82841,0.49751,0.78099,1.02726,0.00101,0.00101,0.00101
27,76.7057,0.77157,1.64853,1.29761,1,0.86079,0.93523,0.79116,0.57583,0.89655,1.0479,0.0009704,0.0009704,0.0009704
28,78.8215,0.83101,1.65699,1.29223,0.99488,0.8,0.91778,0.78517,0.55159,0.85302,1.0511,0.0009308,0.0009308,0.0009308
29,80.9251,0.79798,1.62295,1.29115,0.99313,0.8,0.91476,0.76385,0.56661,0.84415,1.1208,0.0008912,0.0008912,0.0008912
30,82.998,0.70347,1.55824,1.22878,0.99313,0.8,0.91476,0.76385,0.56661,0.84415,1.1208,0.0008516,0.0008516,0.0008516
31,85.1272,0.6578,1.39436,1.17257,0.9927,0.8,0.88327,0.77105,0.60546,0.94869,1.17642,0.000812,0.000812,0.000812
32,87.2351,0.77436,1.52301,1.24473,0.99249,0.8,0.87781,0.74629,0.55837,0.964,1.13335,0.0007724,0.0007724,0.0007724
33,89.3968,0.83547,1.67991,1.33834,1,0.86153,0.91292,0.78739,0.53167,0.85505,1.11749,0.0007328,0.0007328,0.0007328
34,91.5286,0.70242,1.46615,1.23702,1,0.86143,0.90353,0.79704,0.4443,0.76541,1.06934,0.0006932,0.0006932,0.0006932
35,93.6708,0.64677,1.43822,1.19746,0.99478,0.8,0.89525,0.80916,0.40374,0.69845,1.04743,0.0006536,0.0006536,0.0006536
36,95.7809,0.65253,1.30555,1.18289,1,0.86227,0.88196,0.81445,0.41196,0.66804,1.02686,0.000614,0.000614,0.000614
37,97.8951,0.77915,1.47185,1.28134,1,0.86217,0.87632,0.81498,0.44346,0.67018,1.02482,0.0005744,0.0005744,0.0005744
