epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6207,1.89122,4.32924,2.23519,0.00667,0.64,0.30672,0.1532,1.16287,3.80029,1.69556,0.00024,0.00024,0.00024
2,20.877,1.22682,2.97002,1.72743,0.00792,0.76,0.2983,0.17336,1.35878,3.98196,1.70404,0.00049066,0.00049066,0.00049066
3,24.9426,1.33131,2.94739,1.79386,0.0075,0.72,0.24626,0.15174,1.60936,4.33872,1.83779,0.000731608,0.000731608,0.000731608
4,29.1091,1.34066,2.69277,1.76964,0.0089,0.78,0.33263,0.1799,1.54132,4.07644,1.89775,0.000962842,0.000962842,0.000962842
5,33.2733,1.2192,2.56969,1.62176,0.16465,0.5,0.21633,0.09491,1.33556,3.84625,1.62761,0.00118436,0.00118436,0.00118436
6,37.3979,1.16529,2.44523,1.65311,0.35207,0.56517,0.39982,0.24555,1.3485,3.5242,1.62662,0.00139617,0.00139617,0.00139617
7,41.5492,1.19301,2.45118,1.66306,0.30775,0.48,0.28059,0.16005,1.40967,2.95622,1.63135,0.00159826,0.00159826,0.00159826
8,45.482,1.2705,2.39184,1.67372,0.8302,0.24,0.34572,0.2359,1.73393,3.1971,1.90951,0.00173849,0.00173849,0.00173849
9,49.0394,1.26536,2.37047,1.66917,0.41894,0.54804,0.47308,0.32165,1.17886,2.94946,1.5775,0.00170113,0.00170113,0.00170113
10,52.5691,1.14386,2.2504,1.62665,0.33807,0.44,0.34816,0.2232,1.2795,5.07023,1.684,0.00166377,0.00166377,0.00166377
11,56.067,1.18959,2.26374,1.6313,0.46871,0.58,0.48362,0.29105,1.47346,3.6477,2.10647,0.00162642,0.00162642,0.00162642
12,59.7151,1.17038,2.22311,1.59682,0.44004,0.56587,0.48667,0.32257,1.41535,3.96686,1.88987,0.00158906,0.00158906,0.00158906
13,63.2092,1.06008,1.94617,1.53997,0.41831,0.57535,0.50379,0.36211,1.25395,3.11238,1.62211,0.0015517,0.0015517,0.0015517
14,66.724,1.06734,1.95732,1.52712,0.71696,0.64,0.63974,0.39563,1.18296,2.13988,1.60256,0.00151434,0.00151434,0.00151434
15,70.2187,1.09293,1.90169,1.53393,1,0.5734,0.66537,0.42702,1.05788,1.80328,1.40602,0.00147698,0.00147698,0.00147698
16,73.6945,1.06395,1.87129,1.54399,0.97427,0.58,0.68235,0.42724,1.13398,1.70027,1.53312,0.00143962,0.00143962,0.00143962
17,77.1855,1.01672,1.85867,1.49457,0.78614,0.64,0.71746,0.49029,0.9624,1.65738,1.34025,0.00140226,0.00140226,0.00140226
18,80.6758,0.9852,1.83483,1.4826,0.67122,0.6534,0.67448,0.47164,0.98141,1.78298,1.33439,0.00136491,0.00136491,0.00136491
19,84.2065,0.99777,1.74772,1.49987,0.75571,0.66,0.65653,0.47969,0.93799,1.45601,1.28704,0.00132755,0.00132755,0.00132755
20,87.6781,0.98406,1.69023,1.44198,0.77381,0.66,0.70206,0.52806,0.91628,1.4983,1.26016,0.00129019,0.00129019,0.00129019
21,91.1651,0.952,1.57588,1.46725,0.7225,0.62496,0.70451,0.52759,0.88055,1.42465,1.22526,0.00125283,0.00125283,0.00125283
22,94.6616,0.9597,1.61398,1.46789,0.77828,0.52,0.63495,0.49461,0.87529,1.39996,1.2525,0.00121547,0.00121547,0.00121547
23,98.1251,0.9361,1.59809,1.41225,0.79187,0.60887,0.70845,0.53189,0.89186,1.3747,1.24203,0.00117811,0.00117811,0.00117811
24,101.606,0.91942,1.54439,1.42938,0.83437,0.64,0.73074,0.52389,0.86087,1.23018,1.25491,0.00114075,0.00114075,0.00114075
25,105.068,0.88805,1.48673,1.36491,0.96007,0.66,0.75915,0.58589,0.85192,1.17438,1.21752,0.0011034,0.0011034,0.0011034
26,108.545,0.90932,1.48421,1.40617,0.98777,0.66,0.75913,0.58806,0.82023,1.2156,1.19369,0.00106604,0.00106604,0.00106604
27,112.083,0.8823,1.48043,1.40314,0.76469,0.71501,0.71671,0.54667,0.84644,1.16785,1.28121,0.00102868,0.00102868,0.00102868
28,115.588,0.89374,1.37188,1.41894,0.92398,0.62,0.74442,0.57045,0.91643,1.18095,1.25959,0.000991321,0.000991321,0.000991321
29,119.038,0.92867,1.44252,1.39161,0.90868,0.62,0.7408,0.54116,0.89818,1.22105,1.24467,0.000953962,0.000953962,0.000953962
30,122.479,0.90382,1.45982,1.35781,0.85276,0.69508,0.7423,0.56383,0.88364,1.13251,1.28479,0.000916604,0.000916604,0.000916604
31,126.012,0.83337,1.34663,1.3484,0.87686,0.72,0.72885,0.52959,0.9679,1.24555,1.27566,0.000879245,0.000879245,0.000879245
32,129.441,0.88103,1.39011,1.37073,0.92182,0.70761,0.75892,0.52837,0.94836,1.24157,1.23358,0.000841887,0.000841887,0.000841887
33,132.938,0.8296,1.36752,1.34977,0.93779,0.7,0.78433,0.6018,0.82388,1.04778,1.1621,0.000804528,0.000804528,0.000804528
34,136.377,0.83262,1.3248,1.37032,0.87381,0.72,0.78592,0.61407,0.82292,1.03529,1.17126,0.00076717,0.00076717,0.00076717
35,139.853,0.80494,1.27672,1.31205,0.88744,0.68,0.79403,0.5946,0.80883,1.04717,1.15093,0.000729811,0.000729811,0.000729811
36,143.344,0.87122,1.31073,1.35957,0.88862,0.72,0.76402,0.59874,0.77274,1.03684,1.13981,0.000692453,0.000692453,0.000692453
37,146.808,0.79609,1.29595,1.32088,0.93766,0.72,0.78516,0.61518,0.75998,1.00874,1.14446,0.000655094,0.000655094,0.000655094
38,150.323,0.86284,1.32092,1.34465,0.93885,0.72,0.80143,0.62737,0.72559,0.92544,1.11967,0.000617736,0.000617736,0.000617736
39,153.799,0.75553,1.16991,1.28305,0.93773,0.72,0.82871,0.65378,0.71045,0.85841,1.11017,0.000580377,0.000580377,0.000580377
40,157.234,0.77504,1.18417,1.28804,0.91835,0.7,0.8081,0.64259,0.72843,0.88385,1.12094,0.000543019,0.000543019,0.000543019
41,160.759,0.68419,1.09488,1.20701,0.90614,0.74,0.82729,0.65164,0.75107,0.90577,1.12469,0.00050566,0.00050566,0.00050566
42,164.215,0.78135,1.17184,1.31225,0.85003,0.74,0.83611,0.64774,0.7713,0.89607,1.13482,0.000468302,0.000468302,0.000468302
43,167.689,0.74089,1.09598,1.27122,0.97869,0.64,0.82578,0.6507,0.75739,0.87209,1.12413,0.000430943,0.000430943,0.000430943
