epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.08376,2.26929,5.18848,2.15975,0.00849,0.66667,0.20762,0.04907,1.59678,3.30027,1.85588,7.145e-05,7.145e-05,7.145e-05
2,8.942,1.91814,4.73867,2.06341,0.01534,0.83333,0.30409,0.21656,1.32177,3.23541,1.76068,0.000154596,0.000154596,0.000154596
3,12.8649,1.58803,3.7247,1.81934,0.01218,0.83333,0.40789,0.25004,1.21486,3.12733,1.57606,0.000234913,0.000234913,0.000234913
4,16.7029,1.47234,3.23367,1.70758,0.00973,0.83333,0.40963,0.27243,1.1813,3.12742,1.5909,0.000312401,0.000312401,0.000312401
5,20.6064,1.36889,2.68184,1.47204,0.00937,0.83333,0.60226,0.42894,0.99402,3.01416,1.34383,0.000387059,0.000387059,0.000387059
6,24.4807,1.33532,2.71295,1.57756,0.00891,0.83333,0.63834,0.31682,1.28679,3.11954,1.55126,0.000458888,0.000458888,0.000458888
7,28.3655,1.26442,2.34742,1.51404,0.00896,0.83333,0.68274,0.47423,1.12309,2.87368,1.40178,0.000527887,0.000527887,0.000527887
8,32.2207,1.31903,2.56658,1.47418,0.77341,0.65198,0.70294,0.47155,1.02859,2.68708,1.45872,0.000594057,0.000594057,0.000594057
9,36.0277,1.18194,2.11719,1.3466,0.00936,0.83333,0.75101,0.47924,1.05981,2.81757,1.45211,0.000657397,0.000657397,0.000657397
10,39.8118,1.14999,2.23623,1.37741,0.96936,0.26667,0.76894,0.48942,1.07205,2.63056,1.38972,0.000717908,0.000717908,0.000717908
11,43.5732,1.19014,2.16828,1.40044,0.86594,0.29746,0.76605,0.50788,1.11556,2.42833,1.45287,0.00077559,0.00077559,0.00077559
12,47.4117,1.24646,2.12235,1.4682,0.98226,0.66667,0.72141,0.52826,1.0385,2.09693,1.4189,0.000830442,0.000830442,0.000830442
13,51.1957,1.23413,2.25966,1.52287,0.98142,0.64995,0.74529,0.55461,1.06632,2.04258,1.43243,0.000882465,0.000882465,0.000882465
14,54.9925,1.08637,1.81626,1.2178,0.96636,0.63263,0.73019,0.52115,1.10286,2.05723,1.45831,0.000931658,0.000931658,0.000931658
15,58.9191,1.10999,2.22695,1.38418,0.91174,0.66667,0.71486,0.53084,1.10676,1.85766,1.46915,0.000978022,0.000978022,0.000978022
16,62.7939,1.21186,2.24032,1.40433,0.94862,0.66667,0.76425,0.56021,1.07687,1.74843,1.44204,0.00102156,0.00102156,0.00102156
17,66.6066,1.07738,1.86105,1.32565,0.99431,0.66576,0.69259,0.51797,1.10822,1.80304,1.42173,0.00105174,0.00105174,0.00105174
18,70.3922,1.16978,1.94979,1.38676,0.98447,0.66537,0.6853,0.5191,1.00457,1.65473,1.36804,0.00102817,0.00102817,0.00102817
19,74.152,1.12082,1.82563,1.30831,0.99247,0.66667,0.75701,0.5407,1.01107,1.51383,1.40284,0.00100459,0.00100459,0.00100459
20,77.9835,1.13506,1.86359,1.39903,0.75627,0.83333,0.75983,0.55249,1.03575,1.40735,1.39547,0.000981008,0.000981008,0.000981008
21,81.755,1.11876,1.74029,1.30763,0.70032,0.83333,0.77203,0.58831,0.96683,1.52764,1.29654,0.00095743,0.00095743,0.00095743
22,85.5052,1.04846,1.64628,1.206,0.60599,0.83487,0.78138,0.58958,0.94408,1.44878,1.26778,0.000933851,0.000933851,0.000933851
23,89.3419,0.97185,1.61035,1.19184,0.75196,0.8554,0.80953,0.61001,0.94207,1.24188,1.30451,0.000910273,0.000910273,0.000910273
24,93.0841,1.1289,1.91149,1.33715,0.66714,0.83597,0.83031,0.63111,0.93002,1.21619,1.3069,0.000886694,0.000886694,0.000886694
