epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.501,1.58598,3.90815,1.93988,0.03193,0.71429,0.19713,0.07358,1.51719,3.34188,1.89068,8.574e-05,8.574e-05,8.574e-05
2,28.5732,1.4039,3.81808,1.91349,0.03853,0.6,0.21068,0.06472,1.46979,3.43999,1.80248,0.000182705,0.000182705,0.000182705
3,41.2403,1.26322,3.00929,1.79299,0.0377,0.65714,0.28483,0.1254,1.29145,3.13422,1.67301,0.000276369,0.000276369,0.000276369
4,53.8673,1.26802,3.02193,1.82057,0.05,0.65714,0.29691,0.18827,1.40152,3.07089,1.52911,0.000366731,0.000366731,0.000366731
5,66.4801,1.22905,2.6988,1.69671,0.05345,0.68571,0.30426,0.18463,1.40406,3.04579,1.53971,0.000453793,0.000453793,0.000453793
6,78.9116,1.18095,2.74649,1.71749,0.0553,0.68571,0.40032,0.2162,1.19807,2.82354,1.38475,0.000537554,0.000537554,0.000537554
7,91.474,1.09957,2.45478,1.60944,0.06361,0.71429,0.40096,0.20753,1.20525,2.82906,1.40117,0.000618014,0.000618014,0.000618014
8,103.997,1.25013,2.54076,1.73417,0.07547,0.68571,0.44667,0.17258,1.45982,2.82639,1.54694,0.000695173,0.000695173,0.000695173
9,116.499,1.11793,2.24926,1.59986,0.49991,0.34274,0.38186,0.21245,1.5391,2.67304,1.63769,0.000769031,0.000769031,0.000769031
10,128.909,1.16347,2.19409,1.59776,0.38548,0.2868,0.34359,0.19851,1.38703,2.63286,1.47186,0.000839588,0.000839588,0.000839588
11,141.443,1.15621,2.33731,1.56152,0.54515,0.37686,0.40754,0.24522,1.29431,2.22493,1.35352,0.000906843,0.000906843,0.000906843
12,154.049,1.12141,2.06806,1.53709,0.618,0.51429,0.57076,0.34612,1.33295,1.9123,1.39654,0.000970798,0.000970798,0.000970798
13,171.278,1.10464,2.24344,1.59421,0.83148,0.45714,0.5651,0.31374,1.42624,1.90441,1.53371,0.00103145,0.00103145,0.00103145
14,183.952,1.10529,2.12921,1.56447,0.83148,0.45714,0.5651,0.31374,1.42624,1.90441,1.53371,0.00108881,0.00108881,0.00108881
15,188.607,1.13014,2.22969,1.59463,0.77458,0.51429,0.587,0.34119,1.44884,1.73521,1.56898,0.0010989,0.0010989,0.0010989
16,192.315,0.9937,1.97863,1.4636,0.69518,0.54286,0.58304,0.37248,1.38646,1.65764,1.46709,0.00107532,0.00107532,0.00107532
